#,INSTITUCION,TIPO DE ÓRGANO COLEGIADO,FECHA DE LA SESIÓN,ORDINARIA/EXTRAORDINARIA,Responsable,Año,ÓC
68,FONATUR_INFRAESTRUCTURA,CONSEJO DE ADMINISTRACIÓN,07/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
69,INBAL,COCODI,07/03/2025,ORDINARIA,Tania,2025,COCODI
70,Televisión_Metropolitana,COCODI,07/03/2025,ORDINARIA,Tania,2025,COCODI
71,IMCINE,COCODI,10/03/2025,ORDINARIA,Esperanza,2025,COCODI
72,INCA_RURAL,COCODI,11/03/2025,ORDINARIA,Esperanza,2025,COCODI
73,FONATUR,COMITÉ TÉCNICO,11/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
74,FONART,COCODI,11/03/2025,ORDINARIA,Esperanza,2025,COCODI
75,CEAV,COCODI,11/03/2025,ORDINARIA,Esperanza,2025,COCODI
76,FIDEMAR,COMITÉ TÉCNICO,11/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
77,FONATUR,COMITÉ TÉCNICO,11/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
78,ASEA,COCODI,11/03/2025,ORDINARIA,Tania,2025,COCODI
79,CONAZA,CONSEJO DIRECTIVO,12/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
80,IMIPAS,JUNTA DE GOBIERNO,12/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
81,IMER,COCODI,12/03/2025,ORDINARIA,Esperanza,2025,COCODI
82,SNICS,CONSEJO TÉCNICO,12/03/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
83,INIFAP,COCODI,13/03/2025,ORDINARIA,Esperanza,2025,COCODI
84,FIRCO,COCODI,13/03/2025,ORDINARIA,Esperanza,2025,COCODI
85,INPI,JUNTA DE GOBIERNO,13/03/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
86,CONACYT,JUNTA DE GOBIERNO,14/03/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
87,INCA_RURAL,JUNTA DIRECTIVA,14/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
88,CONAPESCA,COCODI,14/03/2025,ORDINARIA,Tania,2025,COCODI
89,SNICS,COCODI,14/03/2025,ORDINARIA,Tania,2025,COCODI
